,City,Cloudiness,County,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tiksi,20,RU,1573711176,98,71.64,128.87,-12.18,0.98
1,Soddy-Daisy,1,US,1573711176,100,35.24,-85.19,32.0,5.53
2,Huilong,54,CN,1573711177,57,31.15,106.5,63.03,4.03
3,Bredasdorp,37,ZA,1573711177,77,-34.53,20.04,62.6,4.7
4,Mar del Plata,43,AR,1573711177,40,-46.43,-67.52,59.88,15.95
5,Jamestown,0,AU,1573711177,27,-33.21,138.6,72.52,12.35
6,Nador,0,MA,1573711177,76,35.17,-2.93,57.2,1.12
7,Punta Arenas,75,CL,1573711177,87,-53.16,-70.91,46.4,5.82
8,Ushuaia,40,AR,1573710994,100,-54.81,-68.31,42.8,8.05
9,Hobart,71,AU,1573711178,34,-42.88,147.33,64.4,25.28
10,Lorengau,50,PG,1573711178,68,-2.02,147.27,84.27,6.46
11,Sioux Lookout,90,CA,1573711178,78,50.1,-91.92,15.8,10.29
12,Oga,75,IT,1573711178,91,46.46,10.35,19.4,1.12
13,Severomuysk,99,RU,1573711178,89,56.17,113.57,-12.09,3.87
14,Qaanaaq,67,GL,1573711178,58,77.48,-69.36,15.73,7.47
15,Airai,0,TL,1573711179,33,-8.93,125.41,86.61,8.3
16,Port Macquarie,0,AU,1573711179,35,-31.43,152.91,71.6,11.41
17,Thessalon,90,CA,1573711179,86,46.26,-83.55,28.4,6.93
18,Dambulla,75,LK,1573711179,66,7.87,80.65,85.86,7.31
19,Kavaratti,26,IN,1573711179,70,10.57,72.64,82.92,6.22
20,Kahului,1,US,1573711179,74,20.89,-156.47,78.8,11.41
21,Vila Franca do Campo,75,PT,1573711180,59,37.72,-25.43,62.6,10.29
22,Ribeira Grande,28,PT,1573711180,76,38.52,-28.7,58.33,11.56
23,Arraial do Cabo,85,BR,1573711180,87,-22.97,-42.02,73.47,22.46
24,Georgetown,13,GY,1573711180,81,6.8,-58.16,81.95,12.19
25,Upernavik,100,GL,1573711180,67,72.79,-56.15,19.62,8.72
26,Dikson,62,RU,1573711180,95,73.51,80.55,3.51,6.89
27,New Norfolk,35,AU,1573711180,34,-42.78,147.06,64.4,25.28
28,Shimoda,75,JP,1573711181,49,34.7,138.93,69.8,14.99
29,Oksfjord,20,NO,1573711181,80,70.24,22.35,33.8,12.75
30,Yeppoon,11,AU,1573711181,40,-23.13,150.74,89.6,11.41
31,Castro,90,CL,1573711181,100,-42.48,-73.76,51.8,4.7
32,Champerico,90,MX,1573711181,82,16.38,-93.6,68.0,3.36
33,Mahebourg,40,MU,1573711181,69,-20.41,57.7,80.6,11.41
34,Hilo,90,US,1573711182,69,19.71,-155.08,78.8,4.7
35,Caravelas,45,BR,1573711182,94,-17.73,-39.27,71.44,0.07
36,Bambous Virieux,40,MU,1573711182,69,-20.34,57.76,80.6,11.41
37,San Patricio,74,PY,1573711182,99,-26.98,-56.83,66.27,3.42
38,Bubaque,72,GW,1573711182,75,11.28,-15.83,82.8,9.91
39,Avarua,80,CK,1573711183,88,-21.21,-159.78,75.2,11.41
40,Butler,90,US,1573711027,85,41.43,-84.87,28.4,9.17
41,Vaini,40,IN,1573711183,69,15.34,74.49,78.8,9.17
42,Barrow,22,AR,1573711183,93,-38.31,-60.23,54.75,8.14
43,Hamilton,90,CA,1573710914,79,43.26,-79.87,32.0,3.36
44,Perth,0,AU,1573711144,11,-31.95,115.86,104.0,14.99
45,Puerto Ayora,38,EC,1573711183,85,-0.74,-90.35,68.67,8.9
46,Rio Claro,100,BR,1573711184,92,-22.41,-47.56,67.41,4.59
47,Istok,100,PL,1573711184,82,52.66,23.48,55.4,8.95
48,Butaritari,85,KI,1573711184,77,3.07,172.79,84.0,10.04
49,Pokhara,100,NP,1573711184,55,28.21,83.99,77.14,1.39
50,Bud,75,NO,1573711184,65,62.91,6.91,37.4,6.93
51,Beloha,88,MG,1573711184,59,-25.17,45.06,83.12,7.83
52,Mataura,69,NZ,1573710956,93,-46.19,168.86,49.6,2.1
53,Taltal,16,CL,1573711185,86,-25.41,-70.49,53.64,1.41
54,Saldanha,97,PT,1573711185,73,41.42,-6.55,40.08,15.97
55,Pisco,90,PE,1573711185,88,-13.71,-76.2,66.2,9.17
56,Albany,90,US,1573711185,67,42.65,-73.75,21.2,2.21
57,Yellowknife,5,CA,1573711185,70,62.45,-114.38,-5.81,13.87
58,Khatanga,100,RU,1573711185,89,71.98,102.47,-18.24,9.82
59,Sept-Iles,20,CA,1573711185,57,50.2,-66.38,17.6,6.93
60,Mantua,0,IT,1573711186,76,45.16,10.79,42.8,1.12
61,Gurupi,85,BR,1573711186,74,-11.73,-49.07,74.82,2.68
62,Busselton,0,AU,1573711186,46,-33.64,115.35,81.54,15.3
63,Preston,81,GB,1573710892,87,53.76,-2.71,42.8,10.29
64,Bluff,45,AU,1573710911,19,-23.58,149.07,93.0,5.93
65,Biak,4,ID,1573711186,68,-0.91,122.88,83.39,19.28
66,Grand Gaube,40,MU,1573711187,69,-20.01,57.66,80.6,11.41
67,Nome,90,US,1573711187,70,30.04,-94.42,48.2,5.48
68,Nanortalik,100,GL,1573711187,76,60.14,-45.24,38.03,40.65
69,Iquique,75,CL,1573711187,77,-20.22,-70.14,66.2,6.93
70,Saskylakh,96,RU,1573711187,95,71.97,114.09,-14.05,13.35
71,Ancud,90,CL,1573711187,100,-41.87,-73.83,51.8,4.7
72,Castle Rock,75,US,1573711187,93,46.27,-122.91,48.2,1.7
73,Hualmay,24,PE,1573711188,89,-11.1,-77.61,60.67,2.24
74,Leningradskiy,100,RU,1573711188,80,69.38,178.42,21.72,23.11
75,Dunmore Town,54,BS,1573711188,69,25.5,-76.65,77.92,10.65
76,Darlawn,20,IN,1573711188,65,24.02,92.93,80.6,4.7
77,Atuona,0,PF,1573711188,71,-9.8,-139.03,80.33,13.24
78,Saint-Augustin,75,CA,1573711188,78,45.63,-73.98,17.6,2.24
79,Iqaluit,90,CA,1573711189,78,63.75,-68.52,14.0,14.99
80,Provideniya,75,RU,1573711189,67,64.42,-173.23,23.0,26.84
81,Miguel Auza,0,MX,1573711189,66,24.29,-103.45,48.29,12.15
82,Tuktoyaktuk,90,CA,1573711169,76,69.44,-133.03,-4.01,12.75
83,Rikitea,66,PF,1573711189,76,-23.12,-134.97,71.58,23.29
84,Morant Bay,20,JM,1573711189,74,17.88,-76.41,80.6,3.36
85,Berlevag,75,NO,1573711189,86,70.86,29.09,30.2,2.24
86,Soe,100,EE,1573711190,87,57.91,26.05,48.2,10.29
87,Coihaique,84,CL,1573711190,72,-45.58,-72.07,40.98,4.21
88,Luziania,40,BR,1573711190,69,-16.25,-47.95,73.4,6.93
89,Pesqueira,68,BR,1573711190,89,-8.36,-36.7,65.39,12.24
90,Arroyo,22,BO,1573711190,91,-11.08,-66.08,73.8,2.84
91,Sitka,0,US,1573710957,66,37.17,-99.65,40.12,8.37
92,Sorong,93,ID,1573711190,69,-0.86,131.25,84.74,5.97
93,Troitsko-Pechorsk,100,RU,1573711190,90,62.71,56.19,9.12,7.76
94,Flinders,0,AU,1573711191,27,-34.58,150.85,78.8,12.75
95,Rohnert Park,90,US,1573711191,100,38.34,-122.7,57.2,5.82
96,Cape Town,32,ZA,1573710941,69,-33.93,18.42,65.14,13.87
97,Narsaq,100,GL,1573711191,75,60.91,-46.05,41.0,42.5
98,Kununurra,40,AU,1573711191,18,-15.77,128.74,107.6,10.29
99,Lasa,84,CY,1573711191,38,34.92,32.53,75.2,5.82
100,Labuhan,37,ID,1573711192,39,-2.54,115.51,94.84,1.23
101,Kirakira,76,SB,1573711192,82,-10.46,161.92,80.13,4.27
102,Kodiak,90,US,1573711192,69,39.95,-94.76,35.6,8.05
103,Banjar,81,ID,1573711192,55,-7.37,108.54,89.4,4.03
104,Thompson,90,CA,1573711192,85,55.74,-97.86,12.2,3.36
105,Karratha,17,AU,1573711192,56,-20.74,116.85,84.11,22.15
106,Kapaa,75,US,1573711192,78,22.08,-159.32,78.8,2.62
107,Santa Cruz,83,BR,1573711193,83,-6.22,-36.02,72.03,10.22
108,East London,75,ZA,1573710961,77,-33.02,27.91,64.4,12.75
109,Vytegra,96,RU,1573711193,86,61.01,36.45,36.57,10.85
110,Kidal,0,ML,1573711193,18,18.44,1.41,61.07,10.98
111,Samarai,100,PG,1573711193,91,-10.62,150.67,76.66,3.91
112,Lompoc,90,US,1573711190,87,34.64,-120.46,57.2,5.28
113,Chihuahua,90,MX,1573710957,100,28.66,-106.08,41.0,4.7
114,Lebu,75,ET,1573711194,62,8.96,38.73,59.0,9.17
115,Olenegorsk,100,RU,1573711194,93,68.14,33.28,24.51,2.44
116,Tungor,100,RU,1573711194,97,53.39,142.95,36.7,39.62
117,Burgersdorp,64,ZA,1573711194,57,-30.99,26.32,60.21,9.57
118,Katsuura,20,JP,1573711194,41,33.93,134.5,60.8,24.16
119,Ratnagiri,0,IN,1573711194,58,16.98,73.3,84.96,7.0
120,Visnes,75,NO,1573711195,75,59.36,5.22,41.0,12.75
121,Port Lincoln,41,AU,1573711195,57,-34.72,135.86,64.44,16.64
122,Kaitangata,99,NZ,1573711195,75,-46.28,169.85,51.85,6.22
123,Avera,90,US,1573711195,69,33.19,-82.53,39.2,5.82
124,Cap Malheureux,40,MU,1573711195,69,-19.98,57.61,80.6,11.41
125,Lima,90,PE,1573711195,82,-12.06,-77.04,66.2,8.05
126,Nikolskoye,20,RU,1573711196,75,59.7,30.79,46.4,11.18
127,Maslovka,0,RU,1573711196,82,51.55,39.24,32.0,6.71
128,Muros,75,ES,1573711196,87,42.77,-9.06,44.6,6.93
129,Atasu,56,KZ,1573711196,45,48.68,71.64,34.86,8.05
130,Hall,73,AT,1573711196,93,47.6,14.46,32.0,7.05
131,Norwalk,68,US,1573711061,72,33.91,-118.08,62.6,4.7
132,Arboledas,75,CO,1573711196,88,7.64,-72.8,75.2,11.41
133,Boca do Acre,95,BR,1573711197,91,-8.76,-67.39,73.35,2.48
134,Bundaberg,0,AU,1573711197,48,-24.87,152.35,86.0,13.87
135,Sayat,2,TM,1573711197,58,38.78,63.88,28.4,6.93
136,Saint George,40,GR,1573711197,93,39.45,22.34,55.4,5.82
137,Te Anau,95,NZ,1573711197,66,-45.41,167.72,49.42,7.78
138,Juneau,90,US,1573711197,81,58.3,-134.42,48.2,20.8
139,Mardin,0,TR,1573711197,28,37.32,40.72,59.0,4.7
140,Severo-Kurilsk,100,RU,1573711197,89,50.68,156.12,31.37,11.61
141,Lazaro Cardenas,90,MX,1573711198,100,28.39,-105.62,41.0,4.7
142,Mount Gambier,90,AU,1573711198,82,-37.83,140.78,57.2,17.22
143,Sao Joao da Barra,78,BR,1573711198,87,-21.64,-41.05,74.12,14.88
144,Kimbe,4,PG,1573711198,64,-5.56,150.15,84.79,2.62
145,Mehamn,75,NO,1573711198,86,71.03,27.85,35.6,2.24
146,Lieksa,100,FI,1573711198,99,63.32,30.02,38.39,4.9
147,Tarauaca,100,BR,1573711198,88,-8.16,-70.77,72.3,1.99
148,Coquimbo,0,CL,1573711199,93,-29.95,-71.34,55.4,6.93
149,Saint-Pierre,100,FR,1573711199,93,48.95,4.24,41.0,17.22
150,Amqui,20,CA,1573711199,57,48.47,-67.43,21.2,16.11
151,Port Alfred,61,ZA,1573711199,67,-33.59,26.89,67.46,13.6
152,Norman Wells,75,CA,1573711199,76,65.28,-126.83,-4.01,3.36
153,Noumea,0,NC,1573710906,37,-22.28,166.46,84.2,11.41
154,Marica,40,BR,1573711199,94,-22.92,-42.82,73.4,3.36
155,Yar-Sale,29,RU,1573711200,98,66.83,70.83,-6.65,8.55
156,Shenjiamen,0,CN,1573711200,51,29.96,122.3,59.72,12.35
157,Digha,0,IN,1573711200,64,21.62,87.51,78.31,10.45
158,Igrim,30,RU,1573711200,93,63.19,64.42,-6.0,1.68
159,Mareeba,40,AU,1573711201,61,-16.99,145.42,82.4,8.05
160,Council Bluffs,1,US,1573711201,80,41.26,-95.86,37.4,8.05
161,Opuwo,86,NA,1573711201,18,-18.06,13.84,74.28,3.04
162,Huarmey,47,PE,1573711201,93,-10.07,-78.15,60.39,0.54
163,Xai-Xai,73,MZ,1573711201,73,-25.04,33.64,78.84,12.08
164,Victoria,75,BN,1573711203,70,5.28,115.24,87.8,2.24
165,Chuy,89,UY,1573711203,97,-33.69,-53.46,66.22,6.67
166,Plettenberg Bay,67,ZA,1573711203,79,-34.05,23.37,62.85,9.82
167,Tay Ninh,92,VN,1573711204,57,11.3,106.1,87.48,8.66
168,Hithadhoo,100,MV,1573711204,74,-0.6,73.08,82.63,8.52
169,Linxia,0,CN,1573711205,19,35.6,103.21,46.09,7.36
170,Iralaya,10,HN,1573711205,75,15.0,-83.23,82.72,10.2
171,Kieta,69,PG,1573711205,75,-6.22,155.63,83.17,9.31
172,Eureka,90,US,1573711206,93,40.8,-124.16,48.2,1.21
173,Mamontovo,100,RU,1573711206,94,52.71,81.63,18.43,11.05
174,Ritchie,0,ZA,1573711207,56,-29.03,24.6,68.0,9.17
175,Buala,97,SB,1573711208,72,-8.15,159.59,83.86,5.08
176,Parati,75,BR,1573711208,94,-20.51,-54.63,73.4,4.7
177,Fortuna,90,US,1573711208,100,40.6,-124.16,48.2,3.36
178,Grindavik,0,IS,1573711209,53,63.84,-22.43,32.0,4.7
179,Faanui,100,PF,1573711209,78,-16.48,-151.75,79.84,21.16
180,Douentza,0,ML,1573711210,27,15.01,-2.95,65.79,3.2
181,Ewa Beach,20,US,1573711211,65,21.32,-158.01,80.6,5.82
182,Prince Rupert,90,CA,1573711209,76,54.32,-130.32,50.0,9.17
183,Cocobeach,40,GA,1573711212,94,1.01,9.58,78.8,3.36
184,Wisconsin Rapids,90,US,1573711212,92,44.39,-89.82,23.0,6.93
185,Callaguip,75,PH,1573711212,65,18.07,120.49,82.4,24.16
186,Hermanus,8,ZA,1573711213,81,-34.42,19.24,63.57,16.67
187,Salinas,1,US,1573711091,81,36.67,-121.66,55.4,5.82
188,Porto Calvo,20,BR,1573711213,78,-9.05,-35.4,75.2,3.36
189,Mlonggo,100,ID,1573711213,69,-6.53,110.7,84.88,10.94
190,Santiago del Estero,0,AR,1573711214,72,-27.8,-64.26,71.49,8.95
191,San Quintin,70,PH,1573711214,68,17.54,120.52,81.0,17.63
192,Cururupu,65,BR,1573711214,98,-1.82,-44.87,72.43,2.33
193,Lavrentiya,0,RU,1573711215,72,65.58,-170.99,23.54,34.2
194,Ahipara,5,NZ,1573711215,75,-35.17,173.16,61.52,16.71
195,Lixourion,20,GR,1573711216,93,38.2,20.43,59.0,12.75
196,Pevek,100,RU,1573711216,61,69.7,170.27,25.45,15.59
197,Viedma,0,AR,1573711217,38,-40.81,-62.99,62.33,9.04
198,Longyearbyen,40,NO,1573711218,90,78.22,15.63,32.0,10.29
199,San Cristobal,32,HN,1573711219,96,14.68,-86.92,63.9,1.59
200,Srednekolymsk,68,RU,1573711219,99,67.46,153.71,-4.02,2.08
201,Nortelandia,100,BR,1573711219,92,-14.45,-56.8,72.19,3.56
202,Chernyshevskiy,100,RU,1573711220,93,63.01,112.47,-13.89,4.63
203,Manuk Mangkaw,63,PH,1573711220,69,4.8,119.85,83.91,6.73
204,Sao Felix do Xingu,88,BR,1573711221,97,-6.64,-51.99,70.38,1.12
205,Toyooka,75,JP,1573711222,66,35.55,134.82,53.6,5.82
206,Ust-Maya,100,RU,1573711222,96,60.42,134.54,-9.41,4.45
207,Cherskiy,18,RU,1573711223,98,68.75,161.3,4.62,1.41
208,Tasiilaq,100,GL,1573711223,85,65.61,-37.64,26.91,17.52
209,Bambanglipuro,67,ID,1573711224,48,-7.95,110.28,91.45,11.27
210,Cidreira,100,BR,1573711224,92,-30.17,-50.22,70.29,21.05
211,Warri,42,NG,1573710954,93,5.52,5.75,76.89,1.66
212,San Borja,100,BO,1573711224,98,-14.86,-66.75,73.27,0.81
213,Kovernino,31,RU,1573711224,88,57.13,43.81,33.22,8.5
214,Plainview,1,US,1573710943,69,34.18,-101.71,37.4,6.93
215,Griffith,27,AU,1573711208,31,-34.29,146.06,77.0,14.99
216,Hailey,1,US,1573711225,75,43.52,-114.32,32.0,9.17
217,Meulaboh,87,ID,1573711225,74,4.14,96.13,82.33,7.11
218,Kholtoson,21,RU,1573711226,53,50.3,103.31,13.75,2.26
219,Faya,2,SA,1573711226,71,18.39,42.45,64.4,0.51
220,Ketchikan,90,US,1573711226,87,55.34,-131.65,48.2,21.92
221,Bethel,1,US,1573711226,71,60.79,-161.76,8.6,38.03
222,Teluknaga,20,ID,1573711226,62,-6.1,106.64,84.2,21.92
223,Tarakan,23,ID,1573711226,73,3.3,117.63,84.69,8.39
224,Surt,0,LY,1573711226,52,31.21,16.59,56.82,9.1
225,Torbay,75,CA,1573711227,74,47.66,-52.73,33.8,24.16
226,Carutapera,62,BR,1573711227,81,-1.2,-46.02,81.0,14.2
227,Okhotsk,99,RU,1573711227,78,59.36,143.24,22.28,8.12
228,Zalantun,100,CN,1573711228,37,48.0,122.72,13.66,6.06
229,Walvis Bay,90,NA,1573711228,87,-22.95,14.51,57.2,6.93
230,Leshukonskoye,100,RU,1573711228,91,64.9,45.76,27.72,11.52
231,Namibe,42,AO,1573711229,79,-15.19,12.15,72.9,9.95
232,Dunedin,98,NZ,1573711229,81,-45.87,170.5,50.67,4.38
233,Kaeo,1,NZ,1573711229,68,-35.1,173.78,62.91,17.11
234,Hohhot,0,CN,1573711229,41,40.81,111.65,41.0,11.18
235,Portland,1,US,1573710483,72,43.66,-70.25,15.8,4.7
236,San Juan,1,AR,1573711230,30,-31.54,-68.53,78.55,8.1
237,Chifeng,62,CN,1573711230,27,42.27,118.96,35.69,21.94
238,Zonguldak,40,TR,1573711231,81,41.25,31.83,48.2,2.24
239,Kemin,59,KG,1573711231,36,42.79,75.7,41.9,2.95
240,Hobyo,77,SO,1573711232,65,5.35,48.53,84.09,18.05
241,Ponta do Sol,100,BR,1573711232,96,-20.63,-46.0,66.36,7.02
242,Sigli,84,ID,1573711232,74,5.38,95.96,81.37,3.94
243,Tautira,90,PF,1573711232,61,-17.73,-149.15,80.6,3.36
244,Hasaki,20,JP,1573711233,46,35.73,140.83,71.6,12.75
245,Berezovyy,100,RU,1573711233,50,51.67,135.7,9.68,12.06
246,Rassvet,0,RU,1573711233,77,49.11,45.47,38.46,9.86
247,Semey,78,KZ,1573711233,55,50.41,80.25,33.8,6.71
248,Rize,0,TR,1573711233,58,41.02,40.52,57.2,3.2
249,Kurilsk,100,RU,1573711234,79,45.23,147.88,44.6,19.53
250,Marawi,3,PH,1573711234,75,8.0,124.29,77.7,6.06
251,Batavia,75,US,1573711234,73,43.0,-78.19,26.6,3.36
252,Lata,100,IN,1573711234,26,30.78,78.62,39.69,8.9
253,Qasigiannguit,95,GL,1573711235,43,68.82,-51.19,33.8,21.92
254,Galveston,75,US,1573711235,63,40.58,-86.19,30.2,3.36
255,Mabaruma,100,GY,1573711235,99,8.2,-59.78,73.6,1.36
256,Svetlogorsk,90,RU,1573711235,85,53.14,59.15,23.0,11.18
257,Buraydah,75,SA,1573711236,100,26.33,43.97,62.6,10.29
258,Samarkand,4,UZ,1573711236,36,39.65,66.98,53.6,3.09
259,Atambua,0,ID,1573711236,52,-9.11,124.89,86.58,6.29
260,Flin Flon,100,CA,1573711236,94,54.77,-101.88,16.43,7.34
261,Kayerkan,0,RU,1573711236,75,69.35,87.76,-14.81,2.24
262,Beira,40,ES,1573711237,70,43.2,-8.36,48.2,13.87
263,Petushki,81,RU,1573711237,88,55.93,39.46,32.25,8.14
264,Lagoa,40,PT,1573711237,87,37.14,-8.45,57.2,8.05
265,Uray,0,RU,1573711237,87,60.13,64.8,1.18,2.48
266,Mayo,90,CA,1573711238,55,63.59,-135.9,6.8,8.05
267,Abu Kamal,82,SY,1573711239,54,34.45,40.92,68.56,5.12
268,Saint-Philippe,100,CA,1573711239,78,45.36,-73.48,17.6,4.7
269,Platteville,75,US,1573711233,100,42.73,-90.48,24.8,3.36
270,Gandajika,100,CD,1573711239,86,-6.75,23.95,73.89,1.79
271,Anadyr,40,RU,1573711240,73,64.73,177.51,23.0,24.61
272,Tanout,99,NE,1573711240,17,14.97,8.88,74.39,12.39
273,Merauke,51,ID,1573711240,65,-8.49,140.4,85.57,12.28
274,Boende,100,CD,1573711240,90,-0.28,20.88,73.56,2.98
275,Barcelona,75,ES,1573711002,87,41.38,2.18,60.8,16.11
276,Acapulco,75,MX,1573711241,88,16.86,-99.88,78.8,4.52
277,Chuhar Kana,40,PK,1573711241,64,31.75,73.8,69.8,3.36
278,College,90,US,1573711242,55,64.86,-147.8,10.4,19.46
279,Calbuco,0,CL,1573711242,93,-41.77,-73.13,50.0,6.6
280,Hailar,100,CN,1573711139,60,49.2,119.7,8.51,8.9
281,Guerrero Negro,0,MX,1573711242,87,27.97,-114.04,64.6,7.74
282,Ilulissat,95,GL,1573711243,43,69.22,-51.1,33.8,21.92
283,Yenagoa,48,NG,1573711243,91,4.92,6.26,76.73,1.79
